_source_roi_tag	roi_set	roi	condition	variant	subject	mean_remembered	mean_forgotten	delta	n_subjects	mean_delta	std_delta	t	p	q_bh
meta_metaphor	meta_metaphor	meta_L_pMTG_pSTS	yy	run4_to_retrieval	sub-01	0.09660229046243114	-0.08346855554502204	0.18007084600745318	25	-0.01746870270076138	0.20340041704080158	-0.4294165900667058	0.6714506152511718	0.8889241520008802
meta_metaphor	meta_metaphor	meta_L_pMTG_pSTS	yy	run4_to_retrieval	sub-02	0.16051767031206882	0.23250269529074835	-0.07198502497867953	25	-0.01746870270076138	0.20340041704080158	-0.4294165900667058	0.6714506152511718	0.8889241520008802
meta_metaphor	meta_metaphor	meta_L_pMTG_pSTS	yy	run4_to_retrieval	sub-03	-0.15269942876777606	-0.0789321213514881	-0.07376730741628797	25	-0.01746870270076138	0.20340041704080158	-0.4294165900667058	0.6714506152511718	0.8889241520008802
meta_metaphor	meta_metaphor	meta_L_pMTG_pSTS	yy	run4_to_retrieval	sub-04	-0.04292955692840054	0.05270088202659173	-0.09563043895499226	25	-0.01746870270076138	0.20340041704080158	-0.4294165900667058	0.6714506152511718	0.8889241520008802
meta_metaphor	meta_metaphor	meta_L_pMTG_pSTS	yy	run4_to_retrieval	sub-05	-0.021271152324821237	0.07605791412725788	-0.09732906645207912	25	-0.01746870270076138	0.20340041704080158	-0.4294165900667058	0.6714506152511718	0.8889241520008802
meta_metaphor	meta_metaphor	meta_L_pMTG_pSTS	yy	run4_to_retrieval	sub-06	0.3337443327298048	-0.25550042118542626	0.589244753915231	25	-0.01746870270076138	0.20340041704080158	-0.4294165900667058	0.6714506152511718	0.8889241520008802
meta_metaphor	meta_metaphor	meta_L_pMTG_pSTS	yy	run4_to_retrieval	sub-07	0.21274734662560868	0.5581495520537625	-0.3454022054281538	25	-0.01746870270076138	0.20340041704080158	-0.4294165900667058	0.6714506152511718	0.8889241520008802
meta_metaphor	meta_metaphor	meta_L_pMTG_pSTS	yy	run4_to_retrieval	sub-08	-0.0031596297025988994	0.15884923139110008	-0.16200886109369897	25	-0.01746870270076138	0.20340041704080158	-0.4294165900667058	0.6714506152511718	0.8889241520008802
meta_metaphor	meta_metaphor	meta_L_pMTG_pSTS	yy	run4_to_retrieval	sub-09	0.008375040903886584	0.06588703570381904	-0.05751199479993246	25	-0.01746870270076138	0.20340041704080158	-0.4294165900667058	0.6714506152511718	0.8889241520008802
meta_metaphor	meta_metaphor	meta_L_pMTG_pSTS	yy	run4_to_retrieval	sub-10	0.012199386599026085	-0.05553619817857046	0.06773558477759654	25	-0.01746870270076138	0.20340041704080158	-0.4294165900667058	0.6714506152511718	0.8889241520008802
meta_metaphor	meta_metaphor	meta_L_pMTG_pSTS	yy	run4_to_retrieval	sub-11	0.4012548132233046			25	-0.01746870270076138	0.20340041704080158	-0.4294165900667058	0.6714506152511718	0.8889241520008802
meta_metaphor	meta_metaphor	meta_L_pMTG_pSTS	yy	run4_to_retrieval	sub-13	0.009061845303398921	-0.038500607544867504	0.04756245284826643	25	-0.01746870270076138	0.20340041704080158	-0.4294165900667058	0.6714506152511718	0.8889241520008802
meta_metaphor	meta_metaphor	meta_L_pMTG_pSTS	yy	run4_to_retrieval	sub-14	0.001542680227057751	-0.0903944455892937	0.09193712581635145	25	-0.01746870270076138	0.20340041704080158	-0.4294165900667058	0.6714506152511718	0.8889241520008802
meta_metaphor	meta_metaphor	meta_L_pMTG_pSTS	yy	run4_to_retrieval	sub-15	0.13660148299682495	0.06725630249231837	0.06934518050450658	25	-0.01746870270076138	0.20340041704080158	-0.4294165900667058	0.6714506152511718	0.8889241520008802
meta_metaphor	meta_metaphor	meta_L_pMTG_pSTS	yy	run4_to_retrieval	sub-16	-0.03568797880645509	0.18907157338216404	-0.22475955218861915	25	-0.01746870270076138	0.20340041704080158	-0.4294165900667058	0.6714506152511718	0.8889241520008802
meta_metaphor	meta_metaphor	meta_L_pMTG_pSTS	yy	run4_to_retrieval	sub-17	0.056883174793590854	-0.10722526864298926	0.1641084434365801	25	-0.01746870270076138	0.20340041704080158	-0.4294165900667058	0.6714506152511718	0.8889241520008802
meta_metaphor	meta_metaphor	meta_L_pMTG_pSTS	yy	run4_to_retrieval	sub-18	0.05905262799010099	-0.046978295009503374	0.10603092299960437	25	-0.01746870270076138	0.20340041704080158	-0.4294165900667058	0.6714506152511718	0.8889241520008802
meta_metaphor	meta_metaphor	meta_L_pMTG_pSTS	yy	run4_to_retrieval	sub-19	0.047347561568891514	0.22530018681085096	-0.17795262524195943	25	-0.01746870270076138	0.20340041704080158	-0.4294165900667058	0.6714506152511718	0.8889241520008802
meta_metaphor	meta_metaphor	meta_L_pMTG_pSTS	yy	run4_to_retrieval	sub-20	0.2121389363458161	0.1579313792044622	0.05420755714135389	25	-0.01746870270076138	0.20340041704080158	-0.4294165900667058	0.6714506152511718	0.8889241520008802
meta_metaphor	meta_metaphor	meta_L_pMTG_pSTS	yy	run4_to_retrieval	sub-21	0.2366009095551742	0.09683476986639082	0.13976613968878338	25	-0.01746870270076138	0.20340041704080158	-0.4294165900667058	0.6714506152511718	0.8889241520008802
meta_metaphor	meta_metaphor	meta_L_pMTG_pSTS	yy	run4_to_retrieval	sub-22	-0.06492799629157447	0.002093849832732124	-0.0670218461243066	25	-0.01746870270076138	0.20340041704080158	-0.4294165900667058	0.6714506152511718	0.8889241520008802
meta_metaphor	meta_metaphor	meta_L_pMTG_pSTS	yy	run4_to_retrieval	sub-24	0.04803292458285307	0.02975584625042984	0.01827707833242323	25	-0.01746870270076138	0.20340041704080158	-0.4294165900667058	0.6714506152511718	0.8889241520008802
meta_metaphor	meta_metaphor	meta_L_pMTG_pSTS	yy	run4_to_retrieval	sub-25	0.09706739985002576	0.036621792528774705	0.06044560732125105	25	-0.01746870270076138	0.20340041704080158	-0.4294165900667058	0.6714506152511718	0.8889241520008802
meta_metaphor	meta_metaphor	meta_L_pMTG_pSTS	yy	run4_to_retrieval	sub-26	0.16606325607049563	0.6222284668914445	-0.45616521082094885	25	-0.01746870270076138	0.20340041704080158	-0.4294165900667058	0.6714506152511718	0.8889241520008802
meta_metaphor	meta_metaphor	meta_L_pMTG_pSTS	yy	run4_to_retrieval	sub-27	0.03775291680627929	-0.012809503819981315	0.05056242062626061	25	-0.01746870270076138	0.20340041704080158	-0.4294165900667058	0.6714506152511718	0.8889241520008802
