roi_set	roi	variant	response	status	model	n_trials	n_subjects	ers_beta	ers_se	ers_p	condition_beta	condition_se	condition_p	interaction_beta	interaction_se	interaction_p	converged	loglik	q_bh_within_family
meta_metaphor	meta_L_AG	run3_to_retrieval	memory	ok	gee_binomial	884	26	0.23304063764513747	0.20434214824014077	0.2541016544068566	0.5355889601741206	0.16867604421910776	0.001497063872876904	-0.2103606764637998	0.23422153941126128	0.3691178734979722	True		0.5082033088137132
meta_metaphor	meta_R_temporal_pole	run3_to_retrieval	memory	ok	gee_binomial	884	26	-0.17429875368024417	0.20864121417897705	0.40349284449915035	0.5957175659260158	0.16990470038506517	0.00045457659219722013	0.2033150284775061	0.16545887307191762	0.21914869357205558	True		0.5270356977986387
meta_metaphor	meta_L_pMTG_pSTS	run3_to_retrieval	memory	ok	gee_binomial	884	26	-0.14499862762099233	0.184621161120352	0.43222807276309794	0.6060500759167583	0.1719938647998656	0.0004256097271830495	0.2261567224698694	0.18366803595279538	0.2181979194439967	True		0.5270356977986387
meta_metaphor	meta_R_IFG	run3_to_retrieval	memory	ok	gee_binomial	884	26	0.14311981878358712	0.19420711026635307	0.4611562355738088	0.5849447272896015	0.17025904502134756	0.0005912079426502355	-0.1548143924230249	0.202943363918953	0.44555565821109866	True		0.5270356977986387
meta_spatial	meta_R_PPA_PHG	run4_to_retrieval	memory	ok	gee_binomial	884	26	0.2134171411632971	0.19452941249394837	0.2726001008317618	0.5766832072994369	0.17791692845879956	0.0011898338984908145	-0.26824206723035604	0.20605735949558865	0.19299041147794016	True		0.5452002016635236
meta_metaphor	meta_L_temporal_pole	max_run_to_retrieval	log_rt_correct	ok	mixedlm_gaussian	614	26	0.03584352435187236	0.032811158173226725	0.2746490859099443	-0.06993840838721599	0.03139176949786446	0.025885728518167544	-0.043743676745335185	0.03388988259725906	0.19678719978631032	True	inf	0.5538977833864536
meta_metaphor	meta_L_AG	max_run_to_retrieval	log_rt_correct	ok	mixedlm_gaussian	614	26	-0.030219001536451608	0.03517191401925876	0.3902412714825749	-0.0660517725526683	0.032066789439559006	0.03941587613347541	0.04478273854329491	0.036362686109517865	0.21811442768609335	True	inf	0.5538977833864536
meta_metaphor	meta_R_AG	max_run_to_retrieval	log_rt_correct	ok	mixedlm_gaussian	614	26	-0.029203572170758835	0.037447467735895364	0.4354765865661784	-0.07484594308737345	0.0317541414743405	0.018421010210880842	0.03969256334572473	0.03830477345086834	0.3000947572511803	True	inf	0.5538977833864536
meta_metaphor	meta_R_IFG	max_run_to_retrieval	log_rt_correct	ok	mixedlm_gaussian	614	26	0.023116541046161607	0.03143469508401649	0.4621062592207462	-0.06793088602198986	0.03161889087147236	0.03167983181574581	-0.02338860119609371	0.032824231246030317	0.47613000855805154	True	inf	0.5538977833864536
meta_metaphor	meta_R_temporal_pole	max_run_to_retrieval	log_rt_correct	ok	mixedlm_gaussian	614	26	-0.02382016292301667	0.03408595425375211	0.48466056046314687	-0.06891075098374748	0.031559501303456985	0.02899765732824245	0.016269657438549988	0.03568572387794178	0.6484510897933765	True	inf	0.5538977833864536
meta_spatial	meta_R_PPC_SPL	run4_to_retrieval	log_rt_correct	ok	mixedlm_gaussian	614	26	0.05126289898943202	0.03584523425153368	0.15268328076732338	-0.06272924292706318	0.031845043170361235	0.04885813958184967	-0.052442978988022894	0.036835618665098054	0.15453247917537374	True	inf	0.5627923654817172
meta_spatial	meta_R_hippocampus	run4_to_retrieval	log_rt_correct	ok	mixedlm_gaussian	614	26	-0.046477198252419666	0.03377830827098306	0.16883770964451517	-0.07557676845186558	0.0315480128240629	0.01659268665870848	0.06057698940286211	0.035139390892426674	0.08472490337037952	True	inf	0.5627923654817172
meta_metaphor	meta_R_temporal_pole	max_run_to_retrieval	memory	ok	gee_binomial	884	26	-0.2748204826943057	0.15948845938210365	0.08486373364302766	0.5700009893082243	0.17109855042164607	0.0008640439148633531	0.3608888629848067	0.14705520804397007	0.01412358907704276	True		0.5981430208689096
meta_metaphor	meta_R_AG	max_run_to_retrieval	memory	ok	gee_binomial	884	26	0.31444683559220166	0.23599973881310768	0.18272769163104163	0.5905452871279672	0.1659249468338855	0.00037211238666457147	-0.17856188273037213	0.24592091160587093	0.46778068751214497	True		0.5981430208689096
