subject	roi_set	roi	condition	condition_label	mean_reliability	n_items
sub-13	meta_metaphor	meta_L_AG	kj	KJ	0.016517751509633558	35
sub-13	meta_metaphor	meta_L_IFG	yy	YY	0.0732706386819089	35
sub-13	meta_metaphor	meta_L_IFG	kj	KJ	0.09971376281345071	35
sub-13	meta_metaphor	meta_L_pMTG_pSTS	yy	YY	-0.05200410970049089	35
sub-13	meta_metaphor	meta_L_pMTG_pSTS	kj	KJ	0.007013877567178055	35
sub-13	meta_metaphor	meta_L_temporal_pole	yy	YY	-0.13711309670960603	35
sub-13	meta_metaphor	meta_L_temporal_pole	kj	KJ	-0.00834704180050175	35
sub-13	meta_metaphor	meta_R_AG	yy	YY	0.14511135525712715	35
sub-13	meta_metaphor	meta_R_AG	kj	KJ	0.15320461047690648	35
sub-13	meta_metaphor	meta_R_IFG	yy	YY	-0.07621219331536767	35
sub-13	meta_metaphor	meta_R_IFG	kj	KJ	-0.09640444801219596	35
sub-13	meta_metaphor	meta_R_pMTG_pSTS	yy	YY	0.1429106308681397	35
sub-13	meta_metaphor	meta_R_pMTG_pSTS	kj	KJ	0.19799285350659349	35
sub-13	meta_metaphor	meta_R_temporal_pole	yy	YY	-0.06068368315921352	35
sub-13	meta_metaphor	meta_R_temporal_pole	kj	KJ	-0.09160000439488052	35
sub-14	meta_metaphor	meta_L_AG	yy	YY	-0.00688135573051159	35
sub-14	meta_metaphor	meta_L_AG	kj	KJ	-0.05651812318664877	35
sub-14	meta_metaphor	meta_L_IFG	yy	YY	-0.07021233855254295	35
sub-14	meta_metaphor	meta_L_IFG	kj	KJ	0.13590304279236923	35
sub-14	meta_metaphor	meta_L_pMTG_pSTS	yy	YY	0.054140004546317004	35
sub-14	meta_metaphor	meta_L_pMTG_pSTS	kj	KJ	-0.01903547701822314	35
sub-14	meta_metaphor	meta_L_temporal_pole	yy	YY	-0.15056353769502334	35
sub-14	meta_metaphor	meta_L_temporal_pole	kj	KJ	0.1070226968150208	35
sub-14	meta_metaphor	meta_R_AG	yy	YY	0.018057836838469666	35
sub-14	meta_metaphor	meta_R_AG	kj	KJ	-0.08918346873384932	35
sub-14	meta_metaphor	meta_R_IFG	yy	YY	0.07735660225058896	35
sub-14	meta_metaphor	meta_R_IFG	kj	KJ	-0.0016709928566497113	35
sub-14	meta_metaphor	meta_R_pMTG_pSTS	yy	YY	0.11863457198399008	35
sub-14	meta_metaphor	meta_R_pMTG_pSTS	kj	KJ	0.02436354837208053	35
sub-14	meta_metaphor	meta_R_temporal_pole	yy	YY	0.10751594848980107	35
sub-14	meta_metaphor	meta_R_temporal_pole	kj	KJ	0.02074642542711515	35
sub-15	meta_metaphor	meta_L_AG	yy	YY	0.012329345770993521	35
sub-15	meta_metaphor	meta_L_AG	kj	KJ	-0.11070628374753609	35
sub-15	meta_metaphor	meta_L_IFG	yy	YY	0.11524838833052803	35
sub-15	meta_metaphor	meta_L_IFG	kj	KJ	0.16141215611389553	35
sub-15	meta_metaphor	meta_L_pMTG_pSTS	yy	YY	0.022716096115585664	35
sub-15	meta_metaphor	meta_L_pMTG_pSTS	kj	KJ	0.028857783636848985	35
sub-15	meta_metaphor	meta_L_temporal_pole	yy	YY	0.11760093140229322	35
sub-15	meta_metaphor	meta_L_temporal_pole	kj	KJ	0.11666556034324935	35
sub-15	meta_metaphor	meta_R_AG	yy	YY	-0.014377442575408707	35
sub-15	meta_metaphor	meta_R_AG	kj	KJ	-0.03338942987650548	35
sub-15	meta_metaphor	meta_R_IFG	yy	YY	0.07982342327571439	35
sub-15	meta_metaphor	meta_R_IFG	kj	KJ	0.0732435614052521	35
sub-15	meta_metaphor	meta_R_pMTG_pSTS	yy	YY	-0.033720107638947026	35
sub-15	meta_metaphor	meta_R_pMTG_pSTS	kj	KJ	-0.015482497175926202	35
sub-15	meta_metaphor	meta_R_temporal_pole	yy	YY	-0.027247882697732116	35
sub-15	meta_metaphor	meta_R_temporal_pole	kj	KJ	-0.05090386499561551	35
sub-16	meta_metaphor	meta_L_AG	yy	YY	0.04725560198780573	35
sub-16	meta_metaphor	meta_L_AG	kj	KJ	-0.053735951802885866	35
sub-16	meta_metaphor	meta_L_IFG	yy	YY	-0.04747960619288377	35
sub-16	meta_metaphor	meta_L_IFG	kj	KJ	-0.05950026591375547	35
sub-16	meta_metaphor	meta_L_pMTG_pSTS	yy	YY	0.16006122888693958	35
