subject	roi_set	roi	condition	condition_label	run	target_phase	reinstatement	n_trials
sub-04	meta_spatial	meta_R_PPA_PHG	yy	YY	3	retrieval	-0.015654294576662852	30
sub-04	meta_spatial	meta_R_PPA_PHG	yy	YY	4	retrieval	-0.0027873629496894103	30
sub-04	meta_spatial	meta_R_PPA_PHG	kj	KJ	3	retrieval	0.04028912014659497	4
sub-04	meta_spatial	meta_R_PPA_PHG	kj	KJ	4	retrieval	0.01727214154347259	4
sub-04	meta_spatial	meta_R_PPC_SPL	yy	YY	3	retrieval	-0.009039078897516968	30
sub-04	meta_spatial	meta_R_PPC_SPL	yy	YY	4	retrieval	0.05348690788314604	30
sub-04	meta_spatial	meta_R_PPC_SPL	kj	KJ	3	retrieval	0.05501514969808968	4
sub-04	meta_spatial	meta_R_PPC_SPL	kj	KJ	4	retrieval	0.21167522733634025	4
sub-04	meta_spatial	meta_R_RSC_PCC	yy	YY	3	retrieval	0.005970664835254676	30
sub-04	meta_spatial	meta_R_RSC_PCC	yy	YY	4	retrieval	-0.04355006647513932	30
sub-04	meta_spatial	meta_R_RSC_PCC	kj	KJ	3	retrieval	-0.06613824036128899	4
sub-04	meta_spatial	meta_R_RSC_PCC	kj	KJ	4	retrieval	0.04313988228890708	4
sub-04	meta_spatial	meta_R_hippocampus	yy	YY	3	retrieval	-0.019331426821172934	30
sub-04	meta_spatial	meta_R_hippocampus	yy	YY	4	retrieval	-0.022347717539673205	30
sub-04	meta_spatial	meta_R_hippocampus	kj	KJ	3	retrieval	0.011355280152012082	4
sub-04	meta_spatial	meta_R_hippocampus	kj	KJ	4	retrieval	-0.00772542540240909	4
sub-04	meta_spatial	meta_R_precuneus	yy	YY	3	retrieval	0.003805325968747888	30
sub-04	meta_spatial	meta_R_precuneus	yy	YY	4	retrieval	-0.014493831259428153	30
sub-04	meta_spatial	meta_R_precuneus	kj	KJ	3	retrieval	-0.05057459812989969	4
sub-04	meta_spatial	meta_R_precuneus	kj	KJ	4	retrieval	0.013742039555643126	4
sub-05	meta_spatial	meta_L_PPA_PHG	yy	YY	3	retrieval	-0.005008617523215869	30
sub-05	meta_spatial	meta_L_PPA_PHG	yy	YY	4	retrieval	0.02590065394373559	30
sub-05	meta_spatial	meta_L_PPA_PHG	kj	KJ	3	retrieval	-0.2869388380970623	4
sub-05	meta_spatial	meta_L_PPA_PHG	kj	KJ	4	retrieval	-0.13463163829351854	4
sub-05	meta_spatial	meta_L_PPC_SPL	yy	YY	3	retrieval	0.06778210735327846	30
sub-05	meta_spatial	meta_L_PPC_SPL	yy	YY	4	retrieval	-0.08256787216916822	30
sub-05	meta_spatial	meta_L_PPC_SPL	kj	KJ	3	retrieval	-0.13648115236115196	4
sub-05	meta_spatial	meta_L_PPC_SPL	kj	KJ	4	retrieval	0.1494922714380895	4
sub-05	meta_spatial	meta_L_RSC_PCC	yy	YY	3	retrieval	0.04553338885567075	30
sub-05	meta_spatial	meta_L_RSC_PCC	yy	YY	4	retrieval	-0.008390060600276012	30
sub-05	meta_spatial	meta_L_RSC_PCC	kj	KJ	3	retrieval	-0.06324159621497702	4
sub-05	meta_spatial	meta_L_RSC_PCC	kj	KJ	4	retrieval	-0.0034470992282992184	4
sub-05	meta_spatial	meta_L_hippocampus	yy	YY	3	retrieval	-0.024736881829039357	30
sub-05	meta_spatial	meta_L_hippocampus	yy	YY	4	retrieval	-0.03841302053323674	30
sub-05	meta_spatial	meta_L_hippocampus	kj	KJ	3	retrieval	0.07798139140327623	4
sub-05	meta_spatial	meta_L_hippocampus	kj	KJ	4	retrieval	-0.07611821567103169	4
sub-05	meta_spatial	meta_L_precuneus	yy	YY	3	retrieval	0.03075713596109176	30
sub-05	meta_spatial	meta_L_precuneus	yy	YY	4	retrieval	-0.0705026383274037	30
sub-05	meta_spatial	meta_L_precuneus	kj	KJ	3	retrieval	-0.1173451172350201	4
sub-05	meta_spatial	meta_L_precuneus	kj	KJ	4	retrieval	0.09943394535372213	4
sub-05	meta_spatial	meta_R_PPA_PHG	yy	YY	3	retrieval	0.021860259036801447	30
sub-05	meta_spatial	meta_R_PPA_PHG	yy	YY	4	retrieval	0.012537372687108079	30
sub-05	meta_spatial	meta_R_PPA_PHG	kj	KJ	3	retrieval	-0.06190307894255651	4
sub-05	meta_spatial	meta_R_PPA_PHG	kj	KJ	4	retrieval	-0.066412438736737	4
sub-05	meta_spatial	meta_R_PPC_SPL	yy	YY	3	retrieval	0.026684072185576353	30
sub-05	meta_spatial	meta_R_PPC_SPL	yy	YY	4	retrieval	-0.013121150338862572	30
sub-05	meta_spatial	meta_R_PPC_SPL	kj	KJ	3	retrieval	-0.043207700494116985	4
sub-05	meta_spatial	meta_R_PPC_SPL	kj	KJ	4	retrieval	-0.10482983563044888	4
sub-05	meta_spatial	meta_R_RSC_PCC	yy	YY	3	retrieval	0.03850204178634088	30
sub-05	meta_spatial	meta_R_RSC_PCC	yy	YY	4	retrieval	-0.05413571802948381	30
sub-05	meta_spatial	meta_R_RSC_PCC	kj	KJ	3	retrieval	0.18848495365305665	4
sub-05	meta_spatial	meta_R_RSC_PCC	kj	KJ	4	retrieval	-0.1081729482921405	4
sub-05	meta_spatial	meta_R_hippocampus	yy	YY	3	retrieval	0.018261777217144455	30
sub-05	meta_spatial	meta_R_hippocampus	yy	YY	4	retrieval	-0.0489145757744828	30
sub-05	meta_spatial	meta_R_hippocampus	kj	KJ	3	retrieval	0.025945286010450576	4
sub-05	meta_spatial	meta_R_hippocampus	kj	KJ	4	retrieval	0.13696214636001663	4
sub-05	meta_spatial	meta_R_precuneus	yy	YY	3	retrieval	0.03466889584506307	30
sub-05	meta_spatial	meta_R_precuneus	yy	YY	4	retrieval	-0.030591834931262867	30
sub-05	meta_spatial	meta_R_precuneus	kj	KJ	3	retrieval	-0.010791767681507636	4
sub-05	meta_spatial	meta_R_precuneus	kj	KJ	4	retrieval	0.012896004779711822	4
sub-06	meta_spatial	meta_L_PPA_PHG	yy	YY	3	retrieval	0.01649131221033295	30
sub-06	meta_spatial	meta_L_PPA_PHG	yy	YY	4	retrieval	0.015873506717620788	30
sub-06	meta_spatial	meta_L_PPA_PHG	kj	KJ	3	retrieval	0.004942813895531049	4
sub-06	meta_spatial	meta_L_PPA_PHG	kj	KJ	4	retrieval	-0.11800785969445712	4
sub-06	meta_spatial	meta_L_PPC_SPL	yy	YY	3	retrieval	0.003164870897516458	30
sub-06	meta_spatial	meta_L_PPC_SPL	yy	YY	4	retrieval	-0.006494572032946581	30
sub-06	meta_spatial	meta_L_PPC_SPL	kj	KJ	3	retrieval	-0.013813830518218592	4
sub-06	meta_spatial	meta_L_PPC_SPL	kj	KJ	4	retrieval	-0.09243754329428783	4
sub-06	meta_spatial	meta_L_RSC_PCC	yy	YY	3	retrieval	0.017508265481166307	30
sub-06	meta_spatial	meta_L_RSC_PCC	yy	YY	4	retrieval	0.054959753713842555	30
sub-06	meta_spatial	meta_L_RSC_PCC	kj	KJ	3	retrieval	0.008633154677239985	4
sub-06	meta_spatial	meta_L_RSC_PCC	kj	KJ	4	retrieval	-0.1427978815035684	4
sub-06	meta_spatial	meta_L_hippocampus	yy	YY	3	retrieval	0.015775437589531212	30
sub-06	meta_spatial	meta_L_hippocampus	yy	YY	4	retrieval	-0.011115800394450074	30
sub-06	meta_spatial	meta_L_hippocampus	kj	KJ	3	retrieval	-0.06379165265388201	4
sub-06	meta_spatial	meta_L_hippocampus	kj	KJ	4	retrieval	-0.08284946796207426	4
sub-06	meta_spatial	meta_L_precuneus	yy	YY	3	retrieval	0.01809784238400229	30
sub-06	meta_spatial	meta_L_precuneus	yy	YY	4	retrieval	-0.02188200401846742	30
sub-06	meta_spatial	meta_L_precuneus	kj	KJ	3	retrieval	0.06122717664673247	4
sub-06	meta_spatial	meta_L_precuneus	kj	KJ	4	retrieval	-0.016032596355406464	4
sub-06	meta_spatial	meta_R_PPA_PHG	yy	YY	3	retrieval	-0.032612959248901216	30
sub-06	meta_spatial	meta_R_PPA_PHG	yy	YY	4	retrieval	0.03874892476694595	30
sub-06	meta_spatial	meta_R_PPA_PHG	kj	KJ	3	retrieval	0.045708335399339994	4
sub-06	meta_spatial	meta_R_PPA_PHG	kj	KJ	4	retrieval	0.050705074924119214	4
sub-06	meta_spatial	meta_R_PPC_SPL	yy	YY	3	retrieval	0.021209829187680766	30
sub-06	meta_spatial	meta_R_PPC_SPL	yy	YY	4	retrieval	0.03387043727527821	30
sub-06	meta_spatial	meta_R_PPC_SPL	kj	KJ	3	retrieval	0.0780553933487847	4
sub-06	meta_spatial	meta_R_PPC_SPL	kj	KJ	4	retrieval	0.06262349079194413	4
sub-06	meta_spatial	meta_R_RSC_PCC	yy	YY	3	retrieval	0.0010276835973672082	30
sub-06	meta_spatial	meta_R_RSC_PCC	yy	YY	4	retrieval	0.048962279515465765	30
sub-06	meta_spatial	meta_R_RSC_PCC	kj	KJ	3	retrieval	-0.05388825239523008	4
sub-06	meta_spatial	meta_R_RSC_PCC	kj	KJ	4	retrieval	0.09965957682312734	4
sub-06	meta_spatial	meta_R_hippocampus	yy	YY	3	retrieval	0.004428549219580294	30
sub-06	meta_spatial	meta_R_hippocampus	yy	YY	4	retrieval	-0.045147190355464814	30
sub-06	meta_spatial	meta_R_hippocampus	kj	KJ	3	retrieval	0.026520951903551304	4
sub-06	meta_spatial	meta_R_hippocampus	kj	KJ	4	retrieval	0.06249338572514088	4
sub-06	meta_spatial	meta_R_precuneus	yy	YY	3	retrieval	-0.0327680472713862	30
sub-06	meta_spatial	meta_R_precuneus	yy	YY	4	retrieval	0.03310934709553436	30
sub-06	meta_spatial	meta_R_precuneus	kj	KJ	3	retrieval	0.14029328899597554	4
sub-06	meta_spatial	meta_R_precuneus	kj	KJ	4	retrieval	-0.020844474262205377	4
sub-07	meta_spatial	meta_L_PPA_PHG	yy	YY	3	retrieval	-0.0003662059442124277	30
sub-07	meta_spatial	meta_L_PPA_PHG	yy	YY	4	retrieval	-0.011568649198749096	30
sub-07	meta_spatial	meta_L_PPA_PHG	kj	KJ	3	retrieval	-0.020766157588678436	4
sub-07	meta_spatial	meta_L_PPA_PHG	kj	KJ	4	retrieval	-0.013532368766230138	4
sub-07	meta_spatial	meta_L_PPC_SPL	yy	YY	3	retrieval	0.0034669554860137235	30
sub-07	meta_spatial	meta_L_PPC_SPL	yy	YY	4	retrieval	-0.01743936760349551	30
sub-07	meta_spatial	meta_L_PPC_SPL	kj	KJ	3	retrieval	0.048403375212321596	4
sub-07	meta_spatial	meta_L_PPC_SPL	kj	KJ	4	retrieval	0.13873383611146237	4
sub-07	meta_spatial	meta_L_RSC_PCC	yy	YY	3	retrieval	0.004001781099475238	30
sub-07	meta_spatial	meta_L_RSC_PCC	yy	YY	4	retrieval	-0.0011100372362341515	30
sub-07	meta_spatial	meta_L_RSC_PCC	kj	KJ	3	retrieval	0.011304671844413194	4
sub-07	meta_spatial	meta_L_RSC_PCC	kj	KJ	4	retrieval	-0.03396475785624989	4
sub-07	meta_spatial	meta_L_hippocampus	yy	YY	3	retrieval	0.02915421000597137	30
sub-07	meta_spatial	meta_L_hippocampus	yy	YY	4	retrieval	-0.03130967279110748	30
sub-07	meta_spatial	meta_L_hippocampus	kj	KJ	3	retrieval	-0.03845666014584663	4
sub-07	meta_spatial	meta_L_hippocampus	kj	KJ	4	retrieval	-0.08241463478711163	4
sub-07	meta_spatial	meta_L_precuneus	yy	YY	3	retrieval	0.02208173598109362	30
sub-07	meta_spatial	meta_L_precuneus	yy	YY	4	retrieval	0.00888832349514451	30
sub-07	meta_spatial	meta_L_precuneus	kj	KJ	3	retrieval	-0.049163778823859014	4
sub-07	meta_spatial	meta_L_precuneus	kj	KJ	4	retrieval	0.030117169821465492	4
sub-07	meta_spatial	meta_R_PPA_PHG	yy	YY	3	retrieval	0.008722493347216113	30
sub-07	meta_spatial	meta_R_PPA_PHG	yy	YY	4	retrieval	-0.03947614958136293	30
sub-07	meta_spatial	meta_R_PPA_PHG	kj	KJ	3	retrieval	0.04565780385029328	4
sub-07	meta_spatial	meta_R_PPA_PHG	kj	KJ	4	retrieval	0.05852097557273492	4
sub-07	meta_spatial	meta_R_PPC_SPL	yy	YY	3	retrieval	0.0441853523603036	30
sub-07	meta_spatial	meta_R_PPC_SPL	yy	YY	4	retrieval	-0.00505682856892929	30
sub-07	meta_spatial	meta_R_PPC_SPL	kj	KJ	3	retrieval	0.06422156884527942	4
sub-07	meta_spatial	meta_R_PPC_SPL	kj	KJ	4	retrieval	0.09204834630372653	4
sub-07	meta_spatial	meta_R_RSC_PCC	yy	YY	3	retrieval	0.025297032158164482	30
sub-07	meta_spatial	meta_R_RSC_PCC	yy	YY	4	retrieval	-0.004201227053567286	30
sub-07	meta_spatial	meta_R_RSC_PCC	kj	KJ	3	retrieval	0.07690679715006349	4
sub-07	meta_spatial	meta_R_RSC_PCC	kj	KJ	4	retrieval	-0.02628691163968095	4
sub-07	meta_spatial	meta_R_hippocampus	yy	YY	3	retrieval	0.017358509416401952	30
sub-07	meta_spatial	meta_R_hippocampus	yy	YY	4	retrieval	-0.012162767727051273	30
sub-07	meta_spatial	meta_R_hippocampus	kj	KJ	3	retrieval	0.06750356524662755	4
sub-07	meta_spatial	meta_R_hippocampus	kj	KJ	4	retrieval	0.06424074430267937	4
sub-07	meta_spatial	meta_R_precuneus	yy	YY	3	retrieval	-0.004612263163347122	30
sub-07	meta_spatial	meta_R_precuneus	yy	YY	4	retrieval	-0.0005005780209746596	30
sub-07	meta_spatial	meta_R_precuneus	kj	KJ	3	retrieval	-0.0004857541828918871	4
sub-07	meta_spatial	meta_R_precuneus	kj	KJ	4	retrieval	0.07786943130157266	4
sub-08	meta_spatial	meta_L_PPA_PHG	yy	YY	3	retrieval	0.03322791788126432	30
sub-08	meta_spatial	meta_L_PPA_PHG	yy	YY	4	retrieval	-0.030166107559650445	30
