subject	roi_set	roi	condition	condition_label	mean_reliability	n_items
sub-09	meta_spatial	meta_R_hippocampus	kj	KJ	-0.029744915155196658	35
sub-09	meta_spatial	meta_R_precuneus	yy	YY	-0.1157419336783266	35
sub-09	meta_spatial	meta_R_precuneus	kj	KJ	-0.10437209104541043	35
sub-10	meta_spatial	meta_L_PPA_PHG	yy	YY	0.015207949554305239	35
sub-10	meta_spatial	meta_L_PPA_PHG	kj	KJ	-0.0037476756096017274	35
sub-10	meta_spatial	meta_L_PPC_SPL	yy	YY	-0.011276480703522664	35
sub-10	meta_spatial	meta_L_PPC_SPL	kj	KJ	-0.028174152104968344	35
sub-10	meta_spatial	meta_L_RSC_PCC	yy	YY	-0.01788247865391315	35
sub-10	meta_spatial	meta_L_RSC_PCC	kj	KJ	-0.025056474879889348	35
sub-10	meta_spatial	meta_L_hippocampus	yy	YY	-0.003979627403548712	35
sub-10	meta_spatial	meta_L_hippocampus	kj	KJ	0.04347865654824608	35
sub-10	meta_spatial	meta_L_precuneus	yy	YY	0.05675752888983179	35
sub-10	meta_spatial	meta_L_precuneus	kj	KJ	0.1077002168633397	35
sub-10	meta_spatial	meta_R_PPA_PHG	yy	YY	-0.010726444142969483	35
sub-10	meta_spatial	meta_R_PPA_PHG	kj	KJ	0.00721631968495746	35
sub-10	meta_spatial	meta_R_PPC_SPL	yy	YY	-0.023137848555123127	35
sub-10	meta_spatial	meta_R_PPC_SPL	kj	KJ	0.025363996613052397	35
sub-10	meta_spatial	meta_R_RSC_PCC	yy	YY	0.013350890633335926	35
sub-10	meta_spatial	meta_R_RSC_PCC	kj	KJ	-0.06978677955864526	35
sub-10	meta_spatial	meta_R_hippocampus	yy	YY	-0.05528622599355713	35
sub-10	meta_spatial	meta_R_hippocampus	kj	KJ	-0.014316462479778589	35
sub-10	meta_spatial	meta_R_precuneus	yy	YY	0.1521396994684546	35
sub-10	meta_spatial	meta_R_precuneus	kj	KJ	0.08622776685682405	35
sub-11	meta_spatial	meta_L_PPA_PHG	yy	YY	0.14118919346430991	35
sub-11	meta_spatial	meta_L_PPA_PHG	kj	KJ	0.14957552821103354	35
sub-11	meta_spatial	meta_L_PPC_SPL	yy	YY	0.34543728718045286	35
sub-11	meta_spatial	meta_L_PPC_SPL	kj	KJ	0.3826077593030721	35
