subject	roi_set	roi	condition	condition_label	run	target_phase	reinstatement	n_trials
sub-06	meta_metaphor	meta_R_temporal_pole	kj	KJ	3	retrieval	-0.027702008289219215	4
sub-06	meta_metaphor	meta_R_temporal_pole	kj	KJ	4	retrieval	-0.02851229833435997	4
sub-07	meta_metaphor	meta_L_AG	yy	YY	3	retrieval	0.02164495604320209	30
sub-07	meta_metaphor	meta_L_AG	yy	YY	4	retrieval	-0.028014752926740997	30
sub-07	meta_metaphor	meta_L_AG	kj	KJ	3	retrieval	-0.10819873867753355	4
sub-07	meta_metaphor	meta_L_AG	kj	KJ	4	retrieval	-0.03963387124804667	4
sub-07	meta_metaphor	meta_L_IFG	yy	YY	3	retrieval	0.018669625526737916	30
sub-07	meta_metaphor	meta_L_IFG	yy	YY	4	retrieval	-0.00490971918270333	30
sub-07	meta_metaphor	meta_L_IFG	kj	KJ	3	retrieval	-0.07106848689167983	4
sub-07	meta_metaphor	meta_L_IFG	kj	KJ	4	retrieval	-0.008366857922574099	4
sub-07	meta_metaphor	meta_L_pMTG_pSTS	yy	YY	3	retrieval	-6.011137828677941e-05	30
sub-07	meta_metaphor	meta_L_pMTG_pSTS	yy	YY	4	retrieval	0.029339543288310795	30
sub-07	meta_metaphor	meta_L_pMTG_pSTS	kj	KJ	3	retrieval	-0.1529635979785515	4
sub-07	meta_metaphor	meta_L_pMTG_pSTS	kj	KJ	4	retrieval	0.010909249722777396	4
sub-07	meta_metaphor	meta_L_temporal_pole	yy	YY	3	retrieval	0.026404285607514132	30
sub-07	meta_metaphor	meta_L_temporal_pole	yy	YY	4	retrieval	-0.027331523792746015	30
sub-07	meta_metaphor	meta_L_temporal_pole	kj	KJ	3	retrieval	0.03625866719598539	4
sub-07	meta_metaphor	meta_L_temporal_pole	kj	KJ	4	retrieval	0.024972063422361218	4
sub-07	meta_metaphor	meta_R_AG	yy	YY	3	retrieval	0.06595819084990731	30
sub-07	meta_metaphor	meta_R_AG	yy	YY	4	retrieval	-0.025173671783124504	30
sub-07	meta_metaphor	meta_R_AG	kj	KJ	3	retrieval	-0.195043400740053	4
sub-07	meta_metaphor	meta_R_AG	kj	KJ	4	retrieval	0.0079190321209641	4
sub-07	meta_metaphor	meta_R_IFG	yy	YY	3	retrieval	-0.02298635697036992	30
sub-07	meta_metaphor	meta_R_IFG	yy	YY	4	retrieval	-0.015308806208120225	30
sub-07	meta_metaphor	meta_R_IFG	kj	KJ	3	retrieval	-0.0659621807392631	4
sub-07	meta_metaphor	meta_R_IFG	kj	KJ	4	retrieval	-0.03129995934203813	4
sub-07	meta_metaphor	meta_R_pMTG_pSTS	yy	YY	3	retrieval	0.033125429364034925	30
sub-07	meta_metaphor	meta_R_pMTG_pSTS	yy	YY	4	retrieval	-0.01621386551861453	30
sub-07	meta_metaphor	meta_R_pMTG_pSTS	kj	KJ	3	retrieval	0.0004134969717069087	4
sub-07	meta_metaphor	meta_R_pMTG_pSTS	kj	KJ	4	retrieval	0.039703891539893614	4
sub-07	meta_metaphor	meta_R_temporal_pole	yy	YY	3	retrieval	-0.03205363509544899	30
sub-07	meta_metaphor	meta_R_temporal_pole	yy	YY	4	retrieval	0.09448192152437024	30
sub-07	meta_metaphor	meta_R_temporal_pole	kj	KJ	3	retrieval	0.25686219639257096	4
sub-07	meta_metaphor	meta_R_temporal_pole	kj	KJ	4	retrieval	0.14724820367188896	4
sub-08	meta_metaphor	meta_L_AG	yy	YY	3	retrieval	0.012125400570606524	30
sub-08	meta_metaphor	meta_L_AG	yy	YY	4	retrieval	0.03390653990498648	30
sub-08	meta_metaphor	meta_L_AG	kj	KJ	3	retrieval	-0.04282624111804216	4
sub-08	meta_metaphor	meta_L_AG	kj	KJ	4	retrieval	0.05062468617472623	4
sub-08	meta_metaphor	meta_L_IFG	yy	YY	3	retrieval	0.01226894409203917	30
sub-08	meta_metaphor	meta_L_IFG	yy	YY	4	retrieval	-0.0036882648927319584	30
sub-08	meta_metaphor	meta_L_IFG	kj	KJ	3	retrieval	-0.09877536953206238	4
sub-08	meta_metaphor	meta_L_IFG	kj	KJ	4	retrieval	0.13685465334634433	4
sub-08	meta_metaphor	meta_L_pMTG_pSTS	yy	YY	3	retrieval	-0.03798716461616287	30
sub-08	meta_metaphor	meta_L_pMTG_pSTS	yy	YY	4	retrieval	0.03962212376698339	30
sub-08	meta_metaphor	meta_L_pMTG_pSTS	kj	KJ	3	retrieval	0.06048611520446978	4
sub-08	meta_metaphor	meta_L_pMTG_pSTS	kj	KJ	4	retrieval	0.1293169329602919	4
sub-08	meta_metaphor	meta_L_temporal_pole	yy	YY	3	retrieval	-0.059289658344207886	30
sub-08	meta_metaphor	meta_L_temporal_pole	yy	YY	4	retrieval	-0.028274807817365414	30
sub-08	meta_metaphor	meta_L_temporal_pole	kj	KJ	3	retrieval	-0.09769774259931924	4
sub-08	meta_metaphor	meta_L_temporal_pole	kj	KJ	4	retrieval	-0.07959524482851624	4
sub-08	meta_metaphor	meta_R_AG	yy	YY	3	retrieval	0.03378891038342104	30
sub-08	meta_metaphor	meta_R_AG	yy	YY	4	retrieval	-0.049606672893912886	30
sub-08	meta_metaphor	meta_R_AG	kj	KJ	3	retrieval	0.05767290108927049	4
sub-08	meta_metaphor	meta_R_AG	kj	KJ	4	retrieval	0.14282103020068	4
