subject	roi_set	roi	condition	condition_label	pair_id	word_label	variant	ers	memory	action_time	n_run3_trials	n_run4_trials	n_retrieval_trials
sub-01	meta_metaphor	meta_L_AG	yy	YY	5	yyw_5	max_run_to_retrieval	-0.3612212447741315	0.0	642.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	6	yyw_6	run3_to_retrieval	0.3624506440986366	1.0	675.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	6	yyw_6	run4_to_retrieval	0.11849628819054812	1.0	675.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	6	yyw_6	max_run_to_retrieval	0.3624506440986366	1.0	675.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	7	yyw_8	run3_to_retrieval	-0.012252011255747696	1.0	605.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	7	yyw_8	run4_to_retrieval	0.7075713891234734	1.0	605.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	7	yyw_8	max_run_to_retrieval	0.7075713891234734	1.0	605.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	8	yyw_9	run3_to_retrieval	-0.37200297176001057	1.0	1161.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	8	yyw_9	run4_to_retrieval	-0.46631875943336	1.0	1161.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	8	yyw_9	max_run_to_retrieval	-0.37200297176001057	1.0	1161.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	9	yyw_10	run3_to_retrieval	-0.6051145271626711	1.0	621.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	9	yyw_10	run4_to_retrieval	0.048724320312941174	1.0	621.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	yy	YY	9	yyw_10	max_run_to_retrieval	0.048724320312941174	1.0	621.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	kj	KJ	36	kjw_1	run3_to_retrieval	-0.4531257017551868	0.0	1211.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	kj	KJ	36	kjw_1	run4_to_retrieval	-0.08612337045157956	0.0	1211.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	kj	KJ	36	kjw_1	max_run_to_retrieval	-0.08612337045157956	0.0	1211.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	kj	KJ	37	kjw_2	run3_to_retrieval	-0.4986175799366075	0.0	840.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	kj	KJ	37	kjw_2	run4_to_retrieval	0.35769829494375305	0.0	840.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	kj	KJ	37	kjw_2	max_run_to_retrieval	0.35769829494375305	0.0	840.0	1	1	2
sub-01	meta_metaphor	meta_L_AG	kj	KJ	38	kjw_3	run3_to_retrieval	-0.44557464025267746	1.0	661.0	1	1	2
