analysis_type	roi_set	roi	condition	condition_label	variant	n_subjects	mean_ers	t	p	cohens_dz	q_bh_within_family
ers_one_sample_gt_zero	meta_metaphor	meta_R_pMTG_pSTS	yy	YY	run3_to_retrieval	26	0.031681589819445265	1.359233025910218	0.18620873571261617	0.26656752779369114	0.3489127985035663
ers_one_sample_gt_zero	meta_metaphor	meta_L_AG	kj	KJ	run3_to_retrieval	26	0.043242183912826526	1.32773162931893	0.19626344915825605	0.2603895956427526	0.3489127985035663
ers_yy_minus_kj	meta_metaphor	meta_R_pMTG_pSTS	yy_minus_kj	YY-KJ	run3_to_retrieval	26	0.05837534832681847	1.761428095690237	0.09039332361229008	0.34544447045058074	0.3615732944491603
ers_one_sample_gt_zero	meta_metaphor	meta_L_temporal_pole	kj	KJ	run3_to_retrieval	26	-0.03300827778081183	-1.2376569587796897	0.22734169133372362	-0.24272449938275154	0.36374670613395776
ers_yy_minus_kj	meta_metaphor	meta_R_pMTG_pSTS	yy_minus_kj	YY-KJ	run4_to_retrieval	26	0.038174855169401896	1.1203962615886616	0.27319311449290945	0.21972778464603812	0.4275010806682355
ers_yy_minus_kj	meta_metaphor	meta_L_pMTG_pSTS	yy_minus_kj	YY-KJ	run4_to_retrieval	26	-0.026579069939365155	-1.0132962268135086	0.3206258105011766	-0.19872373975277002	0.4275010806682355
ers_yy_minus_kj	meta_metaphor	meta_L_pMTG_pSTS	yy_minus_kj	YY-KJ	run3_to_retrieval	26	0.054038339186458215	1.4459647688223527	0.1606081700599195	0.2835770220074175	0.42828845349311867
ers_one_sample_gt_zero	meta_metaphor	meta_R_temporal_pole	kj	KJ	run4_to_retrieval	26	0.02671033726717346	1.0605938431871458	0.29901393081575905	0.20799956547721624	0.47842228930521447
ers_yy_minus_kj	meta_metaphor	meta_R_AG	yy_minus_kj	YY-KJ	run3_to_retrieval	26	0.050952719525851745	1.1898592181549692	0.24527922906932106	0.23335059122309396	0.48048507797492723
ers_yy_minus_kj	meta_metaphor	meta_L_IFG	yy_minus_kj	YY-KJ	run3_to_retrieval	26	0.02897664810128773	1.057706114728047	0.3003031737343295	0.20743323533248928	0.48048507797492723
ers_yy_minus_kj	meta_metaphor	meta_L_IFG	yy_minus_kj	YY-KJ	run4_to_retrieval	26	0.026445422916070136	0.7769207340283015	0.4444950875074548	0.1523666916663515	0.5079943857228055
ers_one_sample_gt_zero	meta_metaphor	meta_L_temporal_pole	kj	KJ	run4_to_retrieval	26	0.02897667822410301	0.923729323187635	0.36445765288370546	0.1811582247773695	0.5301202223762989
